KODS,TIPS_CD,NOSAUKUMS,VKUR_CD,VKUR_TIPS,APSTIPR,APST_PAK,STATUSS,SORT_NOS,DAT_SAK,DAT_MOD,DAT_BEIG,ATRIB,STD
"100433596","107","Sila iela","100184091","106","Y","252","EKS","Sila iela","2003.04.20","2009.06.30","","","Sila iela, Egļupe, Allažu pag., Siguldas nov."
"100436142","107","Sila iela","100121213","106","Y","252","EKS","Sila iela","2003.06.25","2021.06.30","","","Sila iela, Stropi, Naujenes pag., Augšdaugavas nov."
"100410874","107","Sila iela","100162611","106","Y","252","EKS","Sila iela","1999.06.07","2021.06.30","","","Sila iela, Kalnāji, Tīnūžu pag., Ogres nov."
"100383512","107","Sila iela","100003575","104","Y","252","EKS","Sila iela","1999.03.16","2021.06.30","","","Sila iela, Salaspils, Salaspils nov."
"100461808","107","Sila iela","100188781","106","Y","252","EKS","Sila iela","2007.11.08","2021.06.30","","","Sila iela, Mērsrags, Mērsraga pag., Talsu nov."
"100457190","107","Sila iela","100003325","104","Y","252","EKS","Sila iela","2007.01.25","2021.06.30","","","Sila iela, Grobiņa, Dienvidkurzemes nov."
"100460943","107","Sila iela","100003077","104","Y","252","EKS","Sila iela","2007.10.08","2017.09.13","","","Sila iela, Aizkraukle, Aizkraukles nov."
"100461045","107","Sila iela","100185735","106","Y","252","EKS","Sila iela","2007.02.21","2021.06.30","","","Sila iela, Podkājas, Ropažu pag., Ropažu nov."
"100450811","107","Sila iela","100208734","106","Y","252","EKS","Sila iela","2005.11.03","2009.06.30","","","Sila iela, Saulgoži, Ķekavas pag., Ķekavas nov."
"100462393","107","Sila iela","100003688","104","Y","252","EKS","Sila iela","2007.09.27","2021.06.30","","","Sila iela, Kandava, Tukuma nov."
"100451901","107","Sila iela","100184540","106","Y","252","EKS","Sila iela","2005.11.15","2021.11.25","","","Sila iela, Garupe, Carnikavas pag., Ādažu nov."
"100463395","107","Sila iela","100131177","106","Y","252","DEL","Sila iela","2008.02.22","2021.06.30","2015.03.17","","Sila iela, Ildzenieki, Kūku pag., Jēkabpils nov."
